"index","title","year","doi","landing_url","container","pdf_url","pdf_file","status","source","error"
"11","Cyclists exposure to atmospheric and noise pollution","","10.1080/01441647.2021.1895361","","","https://www.tandfonline.com/doi/pdf/10.1080/01441647.2021.1895361?needAccess=true","","download_failed","unpaywall","远程服务器返回错误: (403) 已禁止。"
"12","Cyclists’ exposure to air pollution, noise, and greenery: a population-level spatial analysis approach","2023","10.1186/s12942-023-00326-7","https://doi.org/10.1186/s12942-023-00326-7","International Journal of Health Geographics","https://helda.helsinki.fi/server/api/core/bitstreams/0c01e984-9e6d-4684-a821-f9101823887f/content","D:\SJTU\交大\揭榜挂帅\AI_Scientist\zjx_xuhui_route_papers\pdf\12_Cyclists’ exposure to air pollution, noise, and greenery a population-level spatial analysis approach.pdf","downloaded_pdf","direct_web_search",""
"13","The Green Paths Route Planning Software for Exposure-Optimised Active Travel","2023","10.5334/jors.400","https://doi.org/10.5334/jors.400","Journal of Open Research Software","https://storage.googleapis.com/jnl-up-j-jors-files/journals/1/articles/400/65292350bad29.pdf","D:\SJTU\交大\揭榜挂帅\AI_Scientist\zjx_xuhui_route_papers\pdf\13_The Green Paths Route Planning Software for Exposure-Optimised Active Travel.pdf","downloaded_pdf","unpaywall",""
"14","The shortest path to happiness","2014","10.1145/2631775.2631799","https://doi.org/10.1145/2631775.2631799","Proceedings of the 25th ACM conference on Hypertext and social media","https://arxiv.org/pdf/1407.1031","D:\SJTU\交大\揭榜挂帅\AI_Scientist\zjx_xuhui_route_papers\pdf\14_The shortest path to happiness.pdf","downloaded_pdf","direct_web_search",""
"15","R-ALERGO: allergy-healthy routes in Valencia","","10.1016/j.gaceta.2015.11.003","","","https://www.sciencedirect.com/science/article/pii/S021391111500240X/pdfft?isDTMRedir=true&download=true","","direct_download_failed","direct_web_search","请求被中止: 连接被意外关闭。"
"16","Reducing Individual Heat Stress through Path Planning","2017","10.1553/giscience2017_01_s327","https://doi.org/10.1553/giscience2017_01_s327","GI_Forum","https://austriaca.at/0xc1aa5576_0x00369db1.pdf","D:\SJTU\交大\揭榜挂帅\AI_Scientist\zjx_xuhui_route_papers\pdf\16_Reducing Individual Heat Stress through Path Planning.pdf","downloaded_pdf","unpaywall",""
"17","A Context-Aware Running Route Recommender","","10.1109/DEXA.2012.49","","","","","no_open_pdf_found","openalex",""
"18","Evaluating an Itinerary Recommendation Algorithm for Runners","","10.1145/3411763.3451707","","","","","no_open_pdf_found","openalex",""
"19","FlexNav: Flexible Navigation and Exploration through Connected Runnable Zones","2022","10.1145/3491102.3502051","https://doi.org/10.1145/3491102.3502051","CHI Conference on Human Factors in Computing Systems","","D:\SJTU\交大\揭榜挂帅\AI_Scientist\zjx_xuhui_route_papers\pdf\19_FlexNav Flexible Navigation and Exploration through Connected Runnable Zones.pdf","downloaded_pdf_manual","openalex",""
"20","The experience of running: Recommending routes using sensory mapping in urban environments","","10.1016/j.ijhcs.2025.103512","","","https://researchswinger.org/publications/experience05.pdf","D:\SJTU\交大\揭榜挂帅\AI_Scientist\zjx_xuhui_route_papers\pdf\20_10.1016_j.ijhcs.2025.103512.pdf","downloaded_pdf","direct_web_search",""
"21","Multiobjective A* search with consistent heuristics","2008","10.1145/1754399.1754400","https://doi.org/10.1145/1754399.1754400","Journal of the ACM","","","no_open_pdf_found","openalex",""
"22","Urban navigation beyond shortest route: The case of safe paths","","10.1016/j.is.2015.10.005","","","https://www.sciencedirect.com/science/article/am/pii/S0306437915001854","","direct_download_failed","direct_web_search","请求被中止: 连接被意外关闭。"
"23","User Preferences and the Shortest Path","","10.4230/LIPIcs.GIScience.2021.II.11","","","https://drops.dagstuhl.de/storage/00lipics/lipics-vol208-giscience2021/LIPIcs.GIScience.2021.II.11/LIPIcs.GIScience.2021.II.11.pdf","D:\SJTU\交大\揭榜挂帅\AI_Scientist\zjx_xuhui_route_papers\pdf\23_10.4230_LIPIcs.GIScience.2021.II.11.pdf","downloaded_pdf","direct_web_search",""
"24","Health-oriented routes for active mobility","2022","10.1016/j.jth.2022.101410","https://doi.org/10.1016/j.jth.2022.101410","Journal of Transport &amp; Health","https://repositorio.lnec.pt/xmlui/bitstream/handle/123456789/1019467/Health-oriented%20routes%20for%20active%20mobility.pdf?isAllowed=y&sequence=2","D:\SJTU\交大\揭榜挂帅\AI_Scientist\zjx_xuhui_route_papers\pdf\24_Health-oriented routes for active mobility.pdf","downloaded_pdf","direct_web_search",""
